City,Reporting Period,Total emissions (metric tonnes CO2e),GHG/Capita, Population ,Year Reported,Methodology/Protocol
City of Yokohama,2013,21950000, 5.901 ,3719589,2016,"Yokohama determines levels of greenhouse gas (GHG) emissions, promotes their reduction, and manages the progress of reduction on the basis of the Yokohama City Action Plan for Global Warming Countermeasures (district measure revised edition; 2014), which was prepared in accordance with the provisions of Article 20, Item 3, Paragraph 3 of the Act on Promotion of Global Warming Countermeasures. It measures GHG emissions in accordance with “the manual for formulation of action plans by local public entities for global warming countermeasures (regional measure edition, 2014)”, which was formulated by the Ministry of the Environment."
Comune di Milano,2013,5976779, 4.425 ,1350680,2016,"We didn't adopt any specific Protocol, anyway, let apart a few details, the adopted methodology is compliant with the GPC Protocol. Just part of it. With respect to compact basic requirements (first year after the adhesion) only urban railway is missing, we are collecting data regarding this"
Comune di Udine,2013,613588, 6.165 ,99528,2016,
District of Columbia,2013,7386407, 10.988 ,672228,2016,"Emissions reported here are based on the GPC. Previous inventories, and the District's baseline were calculated using the U.S. community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)"
Fafe,2013,163838, 3.320 ,49351,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Gobierno Municipal de León de los Aldamas,2013,5012133, 3.175 ,1578626,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Greater London Authority,2013,40190000, 4.673 ,8600000,2016,"London's inventory is in line with the GPC, but in 2013 does not fully break down emissions according to GPC requirements. Stationary - Published central government datasets used for energy consumption and CO2 emissions from homes (residential buildings) and workplaces (commercial, industrial and government buildings and facilities). Mobile - The London Atmospheric Emissions Inventory (in-house model) is used to calculate distances travelled from transport of people and goods by road, railways, water-borne navigation, aviation, and off-road surface transport. National emissions factors are applied."
Greater Manchester,2013,14889318, 5.391 ,2762000,2016,"A GPC Compliant dataset has been established for Greater Manchester, including primary data from 2013. This work has been undertaken by Anthesis, who also support the World Resources Institute in the development of Carbon Reduction and emissions reporting and trajectory methodologies and reporting tools."
Ho Chi Minh City,2013,19432078, 2.257 ,8611000,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Ho Chi Minh City,2013,30012000, 3.640 ,8244400,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Kansas City,2013,10593687, 22.684 ,467007,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Métropole Nice Côte d'Azur,2013,2139692, 3.821 ,560000,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Belo Horizonte,2013,3241713, 1.295 ,2502557,2016,"GHG emissions by fuel consumption -Different concentrations of biofuels (ethanol and biodiesel) were established by the national authority for the distribution of Automotive Gasoline and Diesel. These concentrations were considered in the calculations and applied to the total of each fuel checked for the municipality, according to regulatory developments in the industry. GHG emissions for electricity consumption - The indirect CO2 emissions per electricity consumption were calculated taking into account the average emission factor of the National Interconnected System in each year of the period considered. GHG emissions per treatment and release of liquid effluents - Belo Horizonte has 4 sewage treatment plants (STP) in operation, which are emitting methane and nitrous oxide.There are a fifth STP that employs physicolchemical processes that do not emit greenhouse gases. A fraction of sewage collected in Belo Horizonte is not forwarded to any treatment plant, being deposited directly into the water body; another fraction of wastewater, which is not collected, it is presumably treated in septic systems (septic tanks), followed by infiltration. GHG emissions by treating municipal solid waste - Landfill - The solids waste generated in Belo Horizonte are taken for disposal in landfill (CTR Macaúbas), where there is no biogas recovery system. It was assumed that 100% of the biogas generated in massive municipal solid waste is released into the atmosphere. A fraction of the waste collected in the city is still willing to massive treatment center CTR-BR-040 in Belo Horizonte, in a separate area where, from 2010, began a system of thermoelectric generation from biogas generated at the landfill. Thus, biogas derived from the ancient massive waste should not be considered in the GHG inventory from 2010. Is it considered only the fraction derived from the provisions in recent separate area and not covered by biogas recovery system. It is worth mentioning that according to this model first-order decay, For purposes of this inventory, we adopted a period of 10 (ten) years as horizon degradation of waste within the massif. Composting - BH also conducts composting for organic waste. These activities take place in the CTRS Rod BR-040 and may incur nitrous oxide and methane."
Municipality of Curitiba,2013,3036279, 1.733 ,1751907,2016,Developed in partnership with ICLEI/URBAN LEDS Project
Municipality of Curitiba,2013,4125853, 2.355 ,1751907,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Curitiba,2013,4421196, 2.524 ,1751907,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Porto Alegre,2013,2829128, 2.007 ,1409351,2016,
Município de Águeda,2013,258882, 5.424 ,47729,2016,"Sustainable Energy Action Plan (SEAP) + SEAP Monitoring Report: Águeda’s SEAP holds a total carbon reduction potential of 33% by 2020, using 2002 as the reference year. The considered actions will also result in substantial economical benefits for the region’s citizens, companies and municipality, estimated at an average of 8 million Euros per year.An average investment of 3,3 million Euros per year is required to implement the actions included in the SEAP, but the bulk of this cost can be supported by external investment (public incentives, bank loans, ESCO models and the transaction of white certificates and carbon credits), which reduces to 1,2 million Euros per year the investment to be supported by the region’s citizens, companies and municipality."
Município de Moita,2013,96508, 1.462 ,66029,2016,This energy consumption ´s data were collected from Directorate General for Energy and Geology (DGEG)
Nelson Mandela Bay Municipality,2013,12232310, 10.617 ,1152115,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Pingtung County Government,2013,4604805, 5.476 ,840931,2016,
Pingtung County Government,2013,4662550, 5.579 ,835792,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Prefeitura de Betim,2013,1763018, 4.663 ,378089,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Prefeitura de Florianópolis,2013,1450465, 2.637 ,550000,2016,IDOM / COBRAPE / BID /PMF (2014)
Prefeitura de Florianópolis,2013,740635, 1.347 ,550000,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Prefeitura de Palmas,2013,625392, 2.293 ,272726,2016,O diagnóstico qualitativo das informações complementa a avaliação quantitativa.
Prefeitura de Porto Velho,2013,850210, 1.984 ,428527,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Región Metropolitana de Santiago,2013,23120028, 3.161 ,7314176,2016,"GPC was used for organizing information, while for the estimation of emissions (equations and emission factors) the IPCC guidelines was used."
Región Metropolitana de Santiago,2013,28406420, 4.352 ,6527903,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Seoul Metropolitan Government,2013,47612664, 4.624 ,10297138,2016,"Plus, For Local Government Greenhouse Gas Inventories., Korea Environment Corporation, 2010,)"
Suwon City,2013,5775155, 4.726 ,1221973,2016,
Taoyuan City Hall,2013,30073752, 14.225 ,2114172,2016,
Tokyo Metropolitan Government,2013,70733403, 5.183 ,13646764,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Ville de Lausanne,2013,499573, 3.568 ,140000,2016,Baseline Emission Inventory of the Covenant of Mayor
Ville de Montreal,2013,10197555, 5.203 ,1959987,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Vilnius City Municipality,2013,1994560, 3.676 ,542626,2016,"Inventory report is prepared in accordance with the methodology recommended by the Intergovernmental Panel on Climate Change (IPCC) publications: 1. Revised 1996 Guidelines for National Greenhouse Gas Inventories, IPCC, 1997; 2. Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories, IPCC, 2000; 3. 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC, 2006 GHG emissions were calculated from activity levels in the different sectors that are in accordance with the IPCC publications."
Yilan County,2013,8180557, 17.831 ,458777,2016,
Ajuntament de Barcelona,2014,3329110, 2.069 ,1608746,2017,Other
Alcaldìa de Ibagué,2014,2330487, 4.132 ,564077,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Auckland Council,2014,8388416, 5.196 ,1614400,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Ayuntamiento de Hermosillo,2014,5627561, 7.738 ,727267,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Ayuntamiento de Madrid,2014,9236196, 2.917 ,3165883,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Barreiro,2014,290849, 3.693 ,78764,2016,The data of energy consumption were collected from the Directorate General for Energy and Geology (DGEG).
Bogor City Government,2014,2193642, 2.093 ,1047922,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
"Broward County, FL",2014,25207288, 13.480 ,1870000,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Athens,2014,4711576, 7.095 ,664046,2016,
City of Atlanta,2014,9024235, 20.335 ,443775,2016,"The Atlanta Mayor’s Office of Sustainability uses the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC) as the framework for its annual citywide greenhouse gas (GHG) reports, which is consistent with international standards. The GPC level selected for the 2013 reports was BASIC. This level will serve as a baseline for more comprehensive reports in the future. This report included emissions from electricity and natural gas consumption, vehicles, city-owned landfills, municipal solid waste (MSW) generated inside the city but sent to landfills outside city limits, and emissions from wastewater treatment plants (WWTP), the Metropolitan Atlanta Rapid Transit Authority (MARTA), and the Hartsfield-Jackson Atlanta International Airport (excluding aviation fuel emissions). All these emitting sources are in compliance with the GPC protocol."
City of Baltimore,2014,7230859, 11.764 ,614664,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Basel-Stadt,2014,825704, 4.150 ,198988,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Boston,2014,6066182, 9.390 ,646000,2016,"For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit, the airport, and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then split into diesel and gasoline based on the State diesel and gas consumption split. Then each fuel type is divided into the average fleet mix categories (ICLEI 2009) and the EPA emissions factor for each vehicle type are applied to calculate the GHG. A 10% ethanol content for gasoline is also accounted for. Fuel oil consumption is estimated based on sampling, U.S. Census data, and some state consumption figures."
City of Buenos Aires,2014,19667128, 6.439 ,3054267,2016,"The GHG emissions are calculated by the Buenos Aires EPA Climate Change team using, primarily, IPCC methodology and reporting based on the city-induced framework of the GCP protocol. The city has already completed the BASIC approach."
City of Cardiff,2014,1959900, 5.532 ,354300,2017,Other
City of Chula Vista,2014,1210870, 4.568 ,265070,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Denver,2014,8942000, 13.470 ,663862,2016,"The methodology is explained in more detail in the peer-reviewed journal paper ""A Demand-Centered, Hybrid Life-Cycle Methodology for City-Scale Greenhouse Gas Inventories"" located at http://pubs.acs.org/doi/abs/10.1021/es702992q ."
City of Durban,2014,22587081, 6.352 ,3555868,2016,
City of Edmonton,2014,16576702, 18.880 ,878000,2016,"Each year we manually collect empirical utility use information from the utilities for natural gas and electricity used within the geographic border of the City of Edmonton. This information is provided to us in various reporting categories such as residential, commercial and industrial. We are now receiving this information at the finest level of granularity that can be provided from the utilities. Propane fuel use for transportation is taken from Statistics Canada as recorded for the Province of Alberta, and then prorated according to the population of Edmonton compared to the population of Alberta. The diesel and gasoline use in litres is done in a similar fashion, but the information in this case is provided to us from the Alberta provincial government. The natural gas consumption in vehicles is received directly from the natural gas distributor. The conversion factors are derived from various sources: electricity grid intensity comes from Statistics Canada - this factor, is always two years behind the calendar year; natural gas and liquid fuels from US Environmental protection Agency, or Natural Resources Canada references, and the local utilities. The data is input manually each year into an excel spreadsheet model, and the conversion factors are checked for updates each year. Reports on the results are sent out on an as needed, customized basis."
"City of Emeryville, CA",2014,167728, 15.868 ,10570,2016,
"City of Emeryville, CA",2014,171413, 16.217 ,10570,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Flagstaff,2014,1211617, 17.645 ,68667,2016,Formulas taken from The Climate Registry: Pacificorp Data ('07 Generation)
City of Hiroshima,2014,8675437, 7.284 ,1191030,2016,環境省のマニュアル
City of Hobart,2014,513016, 10.171 ,50440,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Houston,2014,33414017, 14.219 ,2349993,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Houston,2014,33428301, 14.558 ,2296224,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Hvidovre,2014,219396, 4.142 ,52964,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Johannesburg,2014,24716713, 4.943 ,5000000,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Lagos,2014,29426266, 1.401 ,21000000,2016,
City of Las Vegas,2014,29657130, 47.683 ,621970,2016,"Community data was collected from local utilities (NV Energy and Southwest Gas), the Nevada Department of Transportation's Annual VMT Report for Clark County, the Regional Transportation Commission of Southern Nevada, and the Nevada Department of Environmental Protection. These data points were input into ICLEI's CACP software to obtain aggregated community emission data for Southern Nevada."
City of Lisbon,2014,1934361, 3.531 ,547773,2016,"The data for the final energy use in the city of Lisbon was obtained from the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt). To estimate the emissions from fuel use (scope 1), the emission factors from the 2006 IPCC Guidelines for National Greenhouse Gas Inventories were used. To estimate the emissions from electricity use (scope 2), the emission factor of the Portuguese electric system was obtained from National Energy Balance from the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt). The latest value was used, which refers to 2014 conditions."
City of Ljubljana,2014,2079758, 7.241 ,287218,2016,"The difference that occurs in emissions (between C1.4 and C1.5) is a result of different emissions counting from electricity consumption as required by the COM. Check the XLS REPORT: Table B. Summary - I.4.4 Energy supplied to the grid is informal only - not summed in the total emissions (Scope 1), like in your caclulation C1.5 row 3 - CITY INDUCED FRAMEWORK ONLY"
City of Ljubljana,2014,2060963, 7.149 ,288307,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of London, ON",2014,3070000, 8.187 ,375000,2016,as adapted by ICLEI Canada for use in the FCM's Partners for Climate Protection Program
"City of London, ON",2014,3160000, 8.294 ,381000,2017,International Emissions Analysis Protocol (ICLEI)
City of Melbourne,2014,5319010, 39.014 ,136336,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Minneapolis,2014,4794708, 11.775 ,407207,2016,A note regarding how double counting is avoided for stationary sources: - natural gas consumption at stationary sources is removed from natural gas total and the associated emissions are part of the electricity sector. - electricity production due to waste incineration is removed from the electricity total and the associated emissions are part of solid waste sector.
City of Minneapolis,2014,4758487, 11.580 ,410939,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of New Orleans,2014,4558575, 11.700 ,389617,2016,
City of New Orleans,2014,3606199, 9.211 ,391495,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Paris,2014,5195663, 2.293 ,2265886,2016,
City of Paris,2014,5489249, 2.423 ,2265886,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Perth,2014,653337, 20.269 ,32233,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Philadelphia,2014,17355479, 11.126 ,1559938,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Portland, OR",2014,6974544, 11.261 ,619360,2016,
City of Reno,2014,4437665, 18.725 ,236995,2016,Also utilized the U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Reno,2014,2730235, 11.132 ,245255,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Rochester,2014,1800000, 8.549 ,210563,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of San Antonio,2014,16498864, 11.225 ,1469845,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Saskatoon,2014,3493456, 13.168 ,265300,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Savannah,2014,3609546, 24.778 ,145674,2017,International Emissions Analysis Protocol (ICLEI)
City of Seattle,2014,3470000, 4.786 ,725000,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Seattle,2014,3471000, 5.240 ,662400,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
"City of Somerville, MA",2014,586308, 7.431 ,78900,2016,
"City of Somerville, MA",2014,598143, 7.581 ,78900,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of St Catharines, ON",2014,954541, 7.264 ,131400,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of St Louis,2014,8703679, 27.259 ,319294,2016,We are using the 4th edition of the Protocol.
City of Toronto,2014,20043240, 7.280 ,2753100,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Tshwane,2014,21426358, 6.481 ,3306198,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Vancouver,2014,2442602, 4.047 ,603500,2016,The City has compiled a GPC-compliant inventory for 2014 as a Compact of Mayors signatory.
City of Warsaw,2014,11721774, 7.196 ,1629037,2017,Other
City of Windsor,2014,2475703, 11.739 ,210891,2016,
City of Windsor,2014,1898713, 8.742 ,217188,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Yokohama,2014,20375000, 5.461 ,3731096,2017,Other
City of Zaragoza,2014,1785604, 2.701 ,661108,2016,Metodología propia basada en los factores oficiales del Ministerio de Agricultura y Medioambiente para las emisiones directas y en los de la Comisión Nacional de la Energía para las debidas al uso de la electricidad
Comune di Firenze,2014,1630308, 4.317 ,377635,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Comune di Torino,2014,3496156, 3.890 ,898714,2016,"The city of Turin used, for its emission inventory, the methodology suggested by JRC (""How to develope a sustainable energy action plan"") for the Covenant of Mayors initiative. The methodology consists in the collection of data about yearly energy consumption (MWh/year) from different sources (electricity, natural gas, diesel, liquid gas, biomass, pv, solar thermal, wind…). Following methodology of covenant of mayors , by considering different emission coefficients (Ton CO2/MWh) for all different suorces – is possible to obtain the total CO2 emission (Ton/year)."
Egedal Municipality,2014,179535, 4.275 ,42000,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Gladsaxe Kommune,2014,362078, 5.432 ,66656,2016,
Government of Hong Kong Special Administrative Region,2014,44900000, 6.120 ,7336600,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Greater Amman Municipality,2014,7215407, 1.947 ,3705490,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Greater London Authority,2014,40096000, 4.662 ,8600000,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Greater Manchester,2014,16892757, 6.116 ,2762000,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Hobart City Council,2014,338925, 6.691 ,50655,2017,Other
Hoeje-Taastrup Kommune,2014,297000, 5.940 ,50002,2016,National standard for municipalities in Denmark
Jakarta City Government,2014,27780000, 2.735 ,10155902,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Kaohsiung City Government,2014,58755764, 21.145 ,2778729,2016,"GHG Inventory Accounting Guideline for Local City (EPA): Our country in order to assist local cities to handle emissions baseline, and make sure it follows the standard of MRV, so referring to related international GHG inventory guidelines for local cities, including IEAP published in 2009, to develop our city GHG inventory guideline."
KwaDukuza,2014,1008657, 3.645 ,276719,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Metropolitan Government of Nashville and Davidson County,2014,13461292, 19.828 ,678889,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Mexico City,2014,23655111, 2.665 ,8874724,2016,"Quality Assurance/Quality Control. Activities include calculations revision, data management, verification procedures and uncertainties calculation. With models adapted for the Mexico City"
Mexico City,2014,30870170, 3.478 ,8874724,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipalidad de  Córdoba,2014,5099175, 3.267 ,1560900,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipalidad de General Alvear (Mendoza),2014,180115, 3.879 ,46429,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Fortaleza,2014,5139514," 1,956.061 ",2627,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Hjørring,2014,417000, 6.385 ,65308,2016,
Municìpio de Guimarães,2014,401323, 2.591 ,154920,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Municipio de Mérida,2014,3262192, 3.656 ,892363,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
New Taipei City Government,2014,17233924, 4.345 ,3966818,2016,"GHG Protocol is working to give cities the standards and tools they need to measure their emissions, build more effective emissions reduction strategies, set measurable and more ambitious emission reduction goals, and to track their progress more accurately and comprehensively."
New York City,2014,49385508, 5.816 ,8491079,2016,"ConEdison (ConEd) provided data on use of citywide electricity and steam, and natural gas in the Bronx, Manhattan, and parts of Queens. National Grid reported natural gas use data for Brooklyn, parts of Queens, and Staten Island. The Long Island Power Author- ity (LIPA) reported electricity use data for the Rockaways area of Queens. Fuel oil use was provided by private fuel oil suppliers, per Local Law 43 of 2013, which requires fuel oil providers to report fuel oil deliveries by fuel type to the City on an annual basis. The New York Metropolitan Transportation Council (NYMTC) provided on-road transportation vehicle-miles-traveled (VMT) data. Energy use data for public transit were provided by the Metropolitan Transportation Authority (MTA) for New York City Transit (NYCT) subways and buses, Staten Island Railway (SIR), MTA Metro-North Rail Road (MNR) and Long Island Railroad (LIRR) commuter rail, and MTA Bus Company buses; by the Port Authority of New York and New Jersey (PANYNJ) for Trans-Hudson (PATH) commuter rail; and New Jersey Transit (NJT) for its commuter rail and buses. Data used to calculate fugitive and process CH4 and process N2O from wastewater treatment were provided by DEP. CH4 emissions were calculated based on the destruction of volatile material in anaerobic digesters. Based on the measured concentration and flow of volatile organic solids, it is estimated that 15 cubic feet of digester gas is produced for every pound of volatile organic solids destroyed. N2O emissions were calculated by applying the daily nitrogen load discharged by each of the City’s 14 wastewater treatment plant to the formula in the LGOP. Fugitive CH4 from in-city landfills was calculated from landfill gas collection data provided by the New York City Department of Sani- tation (DSNY) and DEP per the LGOP. Fugitive CH4 from exported solid waste was calculated using waste disposal figures for resi- dential, commercial, and construction and demolition waste and applying emissions factors from the USCP, which were taken from EPA’s Waste Reduction Model (WARM). Fugitive CH4 from natural gas distribution was calculated using data provided by National Grid and ConEd. Fugitive SF6 from electricity distribution was cal- culated using data provided by ConEd. ."
Prefeitura de Extrema,2014,131931, 3.912 ,33729,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Prefeitura Municipal de João Pessoa,2014,1550999, 2.144 ,723515,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Pretoria - Tshwane,2014,15236693, 4.617 ,3300000,2017,International Emissions Analysis Protocol (ICLEI)
Region Metropolitana de Guadalajara,2014,4504221, 3.085 ,1460148,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Santarém,2014,245886, 3.982 ,61752,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Santiago de Guayaquil,2014,6787374, 2.566 ,2644891,2017,Other: ISO 14064
Stadt Zürich,2014,1822367, 4.384 ,415682,2017,Other: 2000-Watt society Methodology
Tainan City Government,2014,21458525, 11.378 ,1886033,2017,International Emissions Analysis Protocol (ICLEI)
Taipei City Government,2014,14957404, 5.530 ,2704810,2016,Taipei city using GPC methodology to make City GHG inventory since 2014.
Taoyuan City Government,2014,35764526, 16.607 ,2153521,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Tokyo Metropolitan Government,2014,70125000, 5.189 ,13513734,2016,"The guideline set by the Ministry of environmnet , Japan"
Torres Vedras Municipality,2014,275646, 3.469 ,79465,2017,International Emissions Analysis Protocol (ICLEI)
Ville de Montreal,2014,10384940, 5.347 ,1942044,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Vilnius City Municipality,2014,1944330, 3.583 ,542626,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Wellington City Council,2014,773061, 3.615 ,213847,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Yilan County Government,2014,8691225, 18.972 ,458117,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Ajuntament de Barcelona,2015,2822928, 1.759 ,1604555,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Alcaldía Metropolitana de Caracas,2015,17774776, 5.052 ,3518590,2016,We used only one methodology: the 2006 IPCC Guidelines for National Greenhouse Gas Inventory. Data was collected or estimated from official sources.
Auckland Council,2015,7750281, 4.677 ,1657200,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Ayuntamiento de San Luis Potosí,2015,1320630, 1.602 ,824229,2016,"the IPCC methodology was followed , implementing all the criteria therein following the classification."
Bærum Kommune,2015,227962, 1.858 ,122660,2017,Other
Batangas City,2015,657636, 1.857 ,354170,2017,Other: IPCC
Bogotá Distrito Capital,2015,12359325, 1.569 ,7878783,2016,"The IPCC guidelines in 2006 for GHG inventories, specifically for modules: energy, industrial processes and products use, waste and forestry module and land uses."
Byron Shire Council,2015,263199, 9.011 ,29209,2017,Other
Canberra,2015,4003900, 10.010 ,400000,2016,"The ACT Government receives disaggregated national data each year from the Australian Government which is consistent with the IPCC guidelines. However, the ACT Government is required to record its own electricity, gas and transport data as this is not provided by the national government at the ACT scale."
Canberra,2015,4047600, 10.119 ,400000,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Changwon City,2015,10257440, 9.563 ,1072657,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Adelaide,2015,573347, 24.279 ,23615,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
